true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter,std_x,std_y
28.7,3.614,2.043,0.825,20.759,17.761,2.401,1.237
28.8,3.647,1.973,0.841,20.777,17.595,2.104,1.239
29.0,3.577,2.065,0.816,21.167,17.499,1.907,1.231
29.2,3.576,2.099,0.81,21.27,17.642,2.053,1.367
29.3,3.734,2.125,0.822,22.232,17.97,2.021,1.341
29.4,3.425,2.05,0.801,17.963,16.079,1.598,1.429
28.5,3.572,1.957,0.837,20.895,17.569,2.103,1.325
29.1,3.731,1.989,0.846,20.24,17.556,1.804,1.234
29.5,3.729,2.051,0.835,18.392,16.453,1.702,1.339
29.7,3.945,2.108,0.845,18.555,17.061,1.813,1.181
29.8,3.906,2.179,0.83,20.327,17.688,1.842,1.278
30.0,4.458,2.168,0.874,23.779,19.049,2.242,1.314
30.2,4.835,2.153,0.895,21.145,18.188,1.588,1.265
30.3,4.023,2.065,0.858,20.243,17.671,1.909,1.418
28.9,3.395,2.08,0.79,20.091,16.908,1.7,1.282
30.4,3.404,2.163,0.772,16.816,15.885,1.371,1.26
30.7,3.687,2.155,0.811,19.032,16.554,1.59,1.448
30.6,3.832,2.197,0.819,18.661,16.499,1.761,1.471
30.1,3.692,2.192,0.805,20.404,17.219,1.702,1.42
29.6,3.748,2.124,0.824,20.686,17.495,1.965,1.311
30.9,4.752,2.351,0.869,23.35,18.82,1.661,1.361
30.5,5.366,2.119,0.919,18.215,17.129,1.282,1.198
31.0,4.588,2.391,0.854,25.239,19.681,1.709,1.397
31.1,4.119,2.007,0.873,17.427,16.169,1.542,1.233
31.2,3.533,2.136,0.796,16.453,15.73,1.396,1.197
31.3,4.883,2.328,0.879,24.736,19.53,1.971,1.427
31.5,4.073,2.282,0.828,18.51,16.609,1.471,1.432
31.4,4.46,2.334,0.852,19.723,17.435,1.484,1.509
30.8,4.055,2.177,0.844,19.336,17.201,1.648,1.47
31.6,5.564,2.453,0.898,21.444,18.129,1.814,1.542
31.7,5.584,2.386,0.904,21.377,18.168,1.742,1.366
32.0,4.78,2.217,0.886,16.638,16.996,1.32,1.255
31.8,5.161,2.215,0.903,21.067,18.162,1.599,1.227
31.9,6.651,2.593,0.921,23.554,19.248,1.706,1.437
32.3,4.776,2.458,0.857,24.107,19.094,1.702,1.565
32.5,4.791,2.444,0.86,23.101,18.82,1.685,1.554
32.6,4.032,2.426,0.799,19.803,17.353,1.335,1.521
32.8,2.594,1.957,0.656,10.413,12.775,0.888,1.226
32.2,4.527,2.337,0.856,16.152,15.673,1.306,1.394
32.4,5.928,2.506,0.906,19.932,17.631,1.424,1.383
32.7,5.079,2.485,0.872,13.696,14.903,1.22,1.487
33.1,3.052,2.138,0.714,9.581,12.259,1.0,1.247
32.9,5.174,2.536,0.872,21.192,18.455,1.725,1.48
33.2,5.413,2.542,0.883,19.73,17.584,1.184,1.378
33.4,5.875,2.605,0.896,24.241,19.322,1.698,1.513
33.3,5.344,2.563,0.878,17.554,16.753,1.415,1.431
33.6,4.355,2.282,0.852,17.895,16.93,1.36,1.312
33.0,5.961,2.499,0.908,23.992,19.266,1.444,1.466
32.1,7.328,2.572,0.936,24.502,19.773,1.844,1.457
34.0,6.321,2.78,0.898,25.325,19.706,1.874,1.785
34.4,3.74,2.344,0.779,13.219,14.548,1.244,1.443
34.6,3.591,2.286,0.771,14.815,15.239,1.027,1.401
35.1,4.241,2.44,0.818,15.57,15.62,1.183,1.469
35.4,3.679,2.292,0.782,11.867,13.89,1.068,1.457
34.9,7.184,2.96,0.911,20.869,18.125,1.539,1.54
34.8,15.641,3.771,0.971,15.768,16.728,1.412,1.357
35.3,9.798,3.437,0.936,22.816,19.536,1.394,1.491
35.5,11.316,3.522,0.95,19.596,18.454,1.557,1.532
35.6,2.606,1.768,0.735,7.778,11.453,0.832,1.057
35.9,9.075,3.126,0.939,20.566,18.106,1.286,1.312
29.9,62632.473,198.673,1.0,19.752,18.022,1.468,1.355
34.5,39895.525,169.676,1.0,21.245,18.553,1.584,1.489
33.8,37008.259,166.406,1.0,14.768,16.438,1.424,1.469
33.7,83609.098,228.321,1.0,24.954,20.048,1.676,1.551
36.2,7.507,3.078,0.912,24.672,19.614,1.486,1.61
35.2,54760.483,218.168,1.0,14.533,15.701,1.194,1.346
36.3,5.233,2.684,0.858,15.998,15.722,1.175,1.498
33.5,69683.262,235.898,1.0,12.407,14.446,1.247,1.502
36.4,5.254,2.851,0.84,19.223,17.281,1.441,1.812
36.6,5.97,2.824,0.881,15.91,15.922,1.254,1.497
34.1,37040.773,172.183,1.0,17.016,16.923,1.451,1.252
36.9,3.683,2.424,0.753,12.708,14.37,1.327,1.481
35.0,47747.556,204.214,1.0,15.728,17.569,1.469,1.322
37.1,5.781,2.958,0.859,21.739,18.408,1.529,1.555
37.3,3.124,1.706,0.838,11.454,14.185,0.805,1.327
37.2,16.184,4.413,0.962,23.808,19.766,1.556,1.696
37.5,4.398,2.603,0.806,16.317,16.062,1.274,1.466
37.7,8.062,3.465,0.903,27.281,20.763,1.758,1.851
36.1,26768.511,151.478,1.0,22.26,19.33,1.589,1.513
36.0,50446.709,209.774,1.0,14.119,15.141,1.245,1.532
33.9,62605.584,216.243,1.0,11.704,15.763,1.548,1.157
34.3,40595.812,174.758,1.0,20.481,18.661,1.704,1.648
38.0,7.505,3.104,0.91,18.588,17.404,1.296,1.516
38.1,7.589,2.889,0.925,11.903,14.076,1.106,1.407
34.7,54543.184,225.634,1.0,16.434,17.267,1.484,1.55
34.2,56837.419,202.453,1.0,19.104,17.316,1.266,1.439
38.7,7.036,3.167,0.893,20.934,18.141,1.254,1.572
35.7,40875.586,188.715,1.0,12.799,15.456,1.063,1.352
38.9,8.723,3.648,0.908,20.284,18.969,1.242,1.352
37.0,65048.289,227.31,1.0,15.054,16.707,1.11,1.318
35.8,37315.445,191.548,1.0,13.198,15.678,1.214,1.466
36.7,68257.567,243.438,1.0,21.7,18.884,1.444,1.602
39.3,4.445,3.409,0.642,30.6,22.042,1.222,1.702
36.5,117831.905,317.229,1.0,25.857,20.536,1.688,1.613
37.4,59797.986,235.8,1.0,14.738,15.762,1.186,1.653
37.6,74164.674,249.977,1.0,23.085,19.627,1.616,1.488
39.6,5.93,2.83,0.879,16.46,16.829,1.028,1.169
37.8,53114.317,217.312,1.0,15.831,16.25,1.153,1.311
38.3,67586.492,262.056,1.0,22.692,19.497,1.39,1.479
37.9,38723.273,187.776,1.0,19.486,18.308,1.487,1.508
36.8,37039.499,192.411,1.0,13.38,14.962,0.955,1.428
39.8,6.044,2.945,0.873,18.067,17.303,1.148,1.4
38.4,51552.543,238.751,1.0,21.267,19.076,1.742,1.735
39.9,18526.454,142.482,1.0,18.375,18.018,1.101,1.354
38.6,66796.235,251.248,1.0,16.901,16.68,1.212,1.54
38.2,14338.944,112.616,1.0,21.301,18.788,1.139,1.259
38.5,30075.377,177.02,1.0,19.919,18.278,1.295,1.658
39.1,40196.175,210.505,1.0,16.812,18.065,1.137,1.42
39.0,74352.816,278.823,1.0,17.559,17.508,1.357,1.424
38.8,59143.169,242.459,1.0,24.287,19.95,1.574,1.69
40.1,60579.814,237.905,1.0,12.841,14.622,0.886,1.336
39.4,65842.604,272.82,1.0,23.692,20.134,1.48,1.564
39.5,46851.174,212.934,1.0,18.288,16.923,1.316,1.672
41.4,2.526,1.74,0.725,5.529,10.142,0.686,1.226
39.2,55438.818,239.184,1.0,13.173,15.48,0.929,1.296
39.7,64403.606,254.758,1.0,18.707,17.543,1.256,1.491
41.7,11.251,3.741,0.943,13.564,15.237,1.036,1.333
40.4,62180.941,262.997,1.0,19.476,18.159,1.201,1.524
41.8,5.441,2.672,0.871,12.129,14.616,1.228,1.462
40.2,49102.655,235.551,1.0,12.53,15.231,0.975,1.528
40.5,37348.328,192.751,1.0,9.874,12.708,0.874,1.347
42.1,4.787,2.697,0.826,10.772,14.141,0.922,1.227
40.0,55242.692,257.537,1.0,22.085,19.312,1.496,1.931
40.7,41675.541,197.362,1.0,9.873,13.146,0.891,1.18
40.8,5239.213,80.507,1.0,20.152,18.967,1.271,1.604
42.2,40490.957,213.842,1.0,18.035,17.808,1.402,1.522
40.3,37939.551,179.483,1.0,6.506,10.526,0.675,1.043
40.6,71356.623,289.882,1.0,24.353,20.203,1.406,1.65
41.1,39119.312,213.52,1.0,13.058,15.631,1.046,1.425
40.9,36493.098,194.04,1.0,21.061,18.355,1.338,1.547
41.0,38868.986,204.45,1.0,21.159,18.859,1.311,1.637
41.9,61515.976,258.104,1.0,15.263,16.458,1.135,1.453
43.3,7.699,3.439,0.895,17.696,17.205,1.072,1.603
43.4,8.299,3.347,0.915,16.557,16.585,0.951,1.203
41.2,34261.865,178.647,1.0,7.595,11.686,0.77,1.163
41.5,50714.893,239.801,1.0,21.916,19.161,1.397,1.73
41.3,44418.124,226.293,1.0,17.745,17.809,1.473,1.653
42.0,36265.272,194.007,1.0,12.147,15.552,1.055,1.376
43.0,42205.206,219.052,1.0,15.855,16.768,1.265,1.436
41.6,36090.163,200.558,1.0,13.205,14.795,1.092,1.464
44.0,6.458,2.946,0.89,12.33,14.316,0.909,1.362
42.3,41759.77,217.293,1.0,17.863,17.446,1.231,1.581
