true_angle,convex_hull_area,convex_hull_perimeter,mean_distance,std_distance,max_distance,point_density,aspect_ratio,circularity
0.6,1151.417,124.314,12.085,6.205,23.208,0.059,0.871,0.936
0.6,1065.373,123.109,10.854,6.556,23.135,0.054,0.952,0.883
0.6,1061.959,120.876,12.029,6.029,22.219,0.057,1.0,0.913
0.6,1300.513,131.772,11.212,7.064,22.38,0.054,1.033,0.941
0.6,952.677,118.889,11.718,5.879,23.646,0.049,0.948,0.847
0.6,1197.37,127.086,12.205,6.529,23.099,0.052,1.099,0.932
0.6,1202.428,126.198,11.322,6.584,21.821,0.046,1.096,0.949
0.6,940.948,117.708,10.437,6.455,23.146,0.054,0.912,0.853
0.6,1076.658,120.697,11.812,5.88,22.331,0.05,0.953,0.929
0.6,1166.411,128.1,10.451,6.627,24.04,0.063,0.956,0.893
0.6,1220.82,128.93,11.513,6.313,23.645,0.052,1.142,0.923
0.6,1028.5,119.226,10.521,6.133,22.34,0.053,1.217,0.909
0.6,964.588,117.595,10.703,5.71,23.741,0.055,0.864,0.877
0.6,1074.721,123.979,9.905,6.589,24.305,0.041,0.956,0.879
0.6,1274.132,131.35,12.706,6.327,24.678,0.05,0.963,0.928
0.6,1186.186,128.319,12.289,6.355,23.046,0.051,0.954,0.905
0.6,1126.894,123.643,10.387,6.527,22.137,0.053,0.955,0.926
0.6,1113.696,122.963,12.185,6.221,21.603,0.053,0.956,0.926
0.6,1056.23,120.422,11.284,6.329,22.28,0.061,0.822,0.915
0.6,1186.853,126.923,10.897,6.656,22.572,0.055,0.922,0.926
0.6,1063.396,122.491,9.788,5.917,24.266,0.048,0.954,0.891
0.6,962.202,117.046,9.918,6.117,21.853,0.059,0.896,0.883
0.6,1057.798,123.629,10.789,6.476,23.38,0.044,1.009,0.87
0.6,1186.083,127.996,11.187,6.802,24.34,0.05,1.044,0.91
0.6,1349.791,134.266,12.311,6.743,24.775,0.045,1.042,0.941
0.6,1077.095,124.636,10.832,6.664,22.156,0.051,0.996,0.871
0.6,1252.315,128.493,12.197,6.193,23.574,0.05,0.915,0.953
0.6,1241.357,129.874,10.565,7.229,23.097,0.043,0.962,0.925
0.6,1085.706,124.143,12.46,6.194,23.007,0.044,1.049,0.885
0.6,1258.371,129.856,12.215,6.414,22.972,0.049,1.043,0.938
0.6,1192.013,127.891,10.823,6.653,23.578,0.048,1.045,0.916
0.6,1172.464,127.019,12.152,6.571,22.974,0.048,0.868,0.913
0.6,1318.454,132.358,10.685,6.474,24.348,0.049,1.038,0.946
0.6,1056.794,122.817,11.519,5.723,22.898,0.055,1.137,0.88
0.6,959.072,119.948,10.949,6.388,22.466,0.049,1.047,0.838
0.6,1180.797,126.74,11.286,6.741,22.734,0.064,1.098,0.924
0.6,1110.928,124.548,11.313,6.529,22.983,0.041,1.005,0.9
0.6,967.207,117.559,10.389,6.398,23.678,0.051,1.001,0.879
0.6,1232.053,131.292,10.661,6.745,24.179,0.054,0.957,0.898
0.6,1118.326,121.701,10.793,6.347,21.536,0.062,1.053,0.949
0.6,821.314,109.978,10.436,5.605,20.33,0.063,0.992,0.853
0.6,1124.362,125.042,10.967,6.4,24.246,0.048,0.948,0.904
0.6,1222.987,128.202,11.587,6.988,22.855,0.039,1.149,0.935
0.6,1039.28,121.129,12.691,5.594,24.606,0.041,0.953,0.89
0.6,925.036,112.614,11.405,6.07,23.717,0.052,1.003,0.917
0.6,1066.101,122.534,12.061,6.465,22.743,0.05,0.789,0.892
0.6,1165.773,126.621,12.238,5.566,23.068,0.054,1.086,0.914
0.6,879.648,110.554,10.975,5.573,22.114,0.052,0.907,0.904
0.6,1030.181,118.969,10.946,6.307,22.495,0.054,0.997,0.915
0.6,987.551,120.689,10.901,6.641,22.978,0.049,1.049,0.852
0.6,992.18,118.874,10.572,6.148,23.093,0.057,0.989,0.882
0.6,1178.028,125.612,12.298,5.923,22.792,0.048,1.095,0.938
0.6,958.435,117.748,9.145,6.374,23.759,0.048,0.832,0.869
0.6,1269.12,131.249,11.864,7.204,24.163,0.035,0.869,0.926
0.6,989.341,121.314,10.285,6.905,22.849,0.053,0.949,0.845
0.6,989.12,117.028,11.968,5.562,21.737,0.052,0.908,0.908
0.6,964.714,115.782,11.23,6.341,21.161,0.049,0.868,0.904
0.6,1093.228,124.165,11.947,6.504,22.184,0.06,1.17,0.891
0.6,1242.645,129.878,11.311,6.804,22.397,0.053,1.007,0.926
0.6,1076.996,120.715,11.5,6.255,21.997,0.054,0.999,0.929
0.6,905.021,115.065,9.777,5.878,22.527,0.051,1.147,0.859
0.6,1136.558,124.279,11.277,6.283,22.501,0.063,1.051,0.925
0.6,1152.058,126.122,13.507,5.659,22.944,0.054,1.047,0.91
0.6,1175.426,124.68,11.254,6.425,22.353,0.05,0.962,0.95
0.6,1111.695,125.88,12.481,6.024,23.027,0.059,0.996,0.882
0.6,1070.336,123.031,10.963,6.09,23.309,0.043,0.945,0.889
0.6,1101.57,122.244,11.04,6.702,22.325,0.059,1.004,0.926
0.6,1027.692,121.155,11.429,6.318,22.221,0.048,1.152,0.88
0.6,1083.571,122.629,11.935,5.789,22.861,0.051,1.274,0.905
0.6,1016.952,120.972,10.547,5.466,23.523,0.047,0.956,0.873
0.6,943.824,115.614,10.153,5.832,21.75,0.058,0.953,0.887
0.6,1149.321,125.629,9.8,5.904,22.773,0.054,1.094,0.915
0.6,1133.176,125.982,12.259,6.349,22.811,0.049,1.143,0.897
0.6,1042.126,120.442,10.057,5.871,22.142,0.058,0.956,0.903
0.6,964.758,115.335,9.418,5.916,22.237,0.058,0.858,0.911
0.6,1103.927,122.255,12.511,6.271,22.781,0.048,0.92,0.928
0.4,1223.11,128.661,10.741,6.625,23.04,0.052,0.962,0.928
0.4,990.527,116.876,10.851,6.389,22.668,0.05,0.787,0.911
0.4,1079.794,121.674,10.596,6.107,22.582,0.048,1.034,0.917
0.4,1182.811,125.641,11.998,6.238,21.845,0.046,0.997,0.942
0.4,1045.336,122.192,11.579,5.73,23.089,0.069,1.098,0.88
0.4,803.913,104.423,9.891,5.327,20.11,0.051,1.001,0.926
0.4,1162.587,125.601,11.461,6.349,24.059,0.045,0.958,0.926
0.4,1145.913,126.831,11.842,6.364,23.059,0.045,1.002,0.895
0.4,1171.541,125.634,12.46,5.829,22.71,0.046,0.999,0.933
0.4,1092.801,124.639,10.693,6.271,22.468,0.05,1.05,0.884
0.4,1115.281,123.935,12.04,6.112,22.375,0.057,1.098,0.912
0.4,1218.404,128.295,11.211,6.341,24.887,0.043,1.007,0.93
0.4,1044.284,118.603,10.694,5.608,21.539,0.051,0.832,0.933
0.4,1165.228,125.093,10.915,6.362,21.493,0.059,1.091,0.936
0.4,1202.564,126.323,11.569,6.629,22.217,0.045,1.055,0.947
0.4,1091.207,123.465,10.706,6.213,22.406,0.057,1.004,0.9
0.4,928.04,116.641,9.908,5.995,21.666,0.057,0.999,0.857
0.4,1217.288,129.42,11.446,6.615,24.444,0.044,1.014,0.913
0.4,1235.739,129.71,10.681,6.685,24.088,0.057,1.043,0.923
0.4,1040.047,119.165,10.265,5.985,21.707,0.049,0.911,0.92
0.4,1329.857,132.604,11.998,6.255,25.187,0.041,1.085,0.95
0.4,1062.557,122.694,10.985,6.351,21.881,0.049,0.91,0.887
0.4,1225.712,130.427,10.861,6.252,24.076,0.047,1.033,0.905
0.4,1137.406,125.201,10.127,6.583,22.899,0.066,1.04,0.912
0.4,1144.092,124.585,11.611,6.362,23.739,0.052,1.007,0.926
0.4,1154.188,124.078,11.522,5.933,23.292,0.055,0.959,0.942
