true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter
2.1,1.498,1.337,0.451,5.913,8.811
2.1,1.451,1.392,0.283,5.737,8.743
2.1,1.474,1.39,0.332,6.103,8.93
2.1,1.512,1.368,0.426,5.928,8.872
2.1,1.397,1.357,0.237,5.583,8.655
2.1,1.489,1.338,0.439,5.795,8.751
2.1,1.491,1.303,0.486,5.196,8.519
2.1,1.458,1.437,0.168,6.144,8.956
2.1,1.49,1.291,0.5,5.584,8.634
2.2,1.41,1.307,0.376,5.288,8.368
2.2,1.43,1.428,0.062,6.068,8.908
2.2,1.402,1.393,0.111,5.833,8.745
2.2,1.451,1.382,0.303,5.569,8.724
2.2,1.455,1.436,0.161,6.079,8.93
2.2,1.471,1.419,0.263,6.033,9.011
2.2,1.439,1.371,0.302,5.77,8.73
2.2,1.486,1.345,0.425,5.628,8.677
2.2,1.462,1.325,0.424,5.487,8.57
2.2,1.46,1.404,0.273,5.838,8.826
2.3,1.473,1.432,0.236,6.128,8.98
2.3,1.461,1.407,0.269,6.052,8.926
2.3,1.495,1.319,0.472,5.143,8.447
2.3,1.493,1.366,0.403,5.981,8.849
2.3,1.397,1.346,0.266,5.471,8.483
2.3,1.48,1.41,0.304,6.034,8.947
2.3,1.414,1.297,0.399,5.38,8.441
2.3,1.48,1.353,0.405,5.972,8.839
2.3,3.181,1.557,0.872,9.764,13.944
2.3,1.478,1.415,0.288,5.904,8.894
2.4,1.474,1.397,0.318,5.75,8.781
2.4,1.48,1.445,0.217,6.165,9.052
2.4,1.447,1.377,0.308,5.932,8.81
2.4,1.499,1.435,0.29,6.263,9.059
2.4,1.507,1.409,0.355,6.199,9.031
2.4,1.433,1.298,0.424,5.019,8.337
2.4,1.453,1.397,0.275,5.884,8.834
2.4,1.507,1.432,0.311,6.202,9.046
2.4,1.454,1.365,0.345,5.762,8.718
2.4,1.473,1.392,0.327,5.915,8.843
2.5,1.552,1.234,0.606,5.528,8.637
2.5,1.454,1.245,0.516,4.832,8.209
2.5,1.491,1.417,0.311,6.145,8.988
2.5,1.384,1.29,0.362,5.195,8.288
2.5,1.37,1.297,0.322,5.01,8.24
2.5,1.469,1.389,0.326,5.947,8.858
2.5,1.49,1.21,0.584,5.146,8.334
2.5,1.46,1.297,0.459,5.454,8.665
2.5,1.435,1.389,0.249,5.862,8.803
2.5,1.473,1.426,0.251,5.84,8.862
2.6,1.47,1.258,0.518,5.575,8.519
2.6,1.404,1.358,0.254,5.288,8.521
2.6,1.481,1.277,0.507,5.417,8.581
2.6,1.449,1.398,0.261,5.897,8.829
2.6,1.531,1.277,0.552,5.387,8.598
2.6,1.505,1.403,0.362,6.132,8.996
2.6,1.477,1.424,0.264,6.016,8.96
2.6,1.455,1.422,0.212,6.187,8.983
2.6,1.434,1.369,0.297,5.688,8.703
2.6,1.524,1.179,0.634,5.277,8.429
2.7,1.439,1.42,0.16,5.961,8.906
2.7,1.443,1.392,0.263,5.881,8.792
2.7,1.481,1.406,0.314,6.009,8.92
2.7,1.509,1.303,0.505,5.154,8.488
