true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter,eccentricity_ratio,aspect_ratio,theta
0.4,1.341,1.224,0.408,4.697,7.909,1.095,0.963,-3.978
0.4,1.307,1.158,0.463,4.286,7.583,0.886,1.15,0.539
0.4,1.283,1.149,0.446,4.229,7.546,1.117,0.926,0.077
0.4,1.292,1.278,0.143,4.756,7.935,0.99,1.062,-0.344
0.4,1.278,1.245,0.228,4.35,7.738,0.974,1.053,2.339
0.4,1.299,1.088,0.547,3.894,7.316,1.194,0.933,0.322
0.4,1.406,1.155,0.57,4.089,7.557,1.217,0.993,3.989
0.4,1.274,1.159,0.415,3.962,7.4,1.099,1.018,-2.014
0.4,1.268,1.009,0.606,3.633,6.996,0.795,1.242,-0.031
0.4,1.33,1.208,0.417,4.394,7.761,1.1,0.923,-0.58
0.4,1.279,1.27,0.119,4.528,7.846,1.007,1.027,0.076
0.4,1.324,1.269,0.286,4.721,7.957,0.958,1.09,0.414
0.4,1.236,1.187,0.279,4.139,7.559,0.96,0.998,-3.187
0.4,1.318,1.223,0.373,4.489,7.778,1.078,0.936,-0.113
0.4,1.298,1.185,0.408,4.374,7.627,1.095,0.932,0.272
0.4,1.24,1.2,0.252,4.093,7.45,0.968,1.073,0.231
0.4,1.295,1.199,0.377,4.457,7.706,0.926,1.125,-0.148
0.4,1.336,1.202,0.435,4.518,7.792,0.9,1.147,-0.029
0.4,1.266,1.243,0.19,4.516,7.774,1.019,1.046,2.178
0.4,1.297,1.231,0.315,4.526,7.785,1.054,0.906,-0.141
0.4,1.376,1.159,0.539,4.454,7.798,1.187,0.884,0.355
0.4,1.276,1.231,0.261,4.515,7.701,1.036,0.997,-0.008
0.5,1.32,1.127,0.521,3.818,7.365,1.171,0.95,0.265
0.5,1.346,1.041,0.633,3.473,7.11,0.774,1.291,0.123
0.5,1.286,1.207,0.345,4.393,7.658,1.065,0.942,0.321
0.5,1.291,1.234,0.293,4.546,7.795,0.956,1.002,3.881
0.5,1.216,1.184,0.23,4.006,7.396,0.973,1.04,-0.514
0.5,1.302,1.192,0.402,4.445,7.715,1.092,0.948,0.178
0.5,1.38,1.161,0.541,4.287,7.71,1.189,0.974,-3.677
0.5,1.308,1.243,0.311,4.516,7.832,1.052,0.946,0.516
0.5,1.335,1.128,0.534,4.319,7.604,1.183,0.863,0.418
0.5,1.25,1.184,0.319,3.972,7.367,1.055,0.956,-2.321
0.5,1.293,1.257,0.234,4.685,7.874,1.029,0.995,0.168
0.5,1.219,1.153,0.326,3.911,7.252,1.058,0.94,-0.373
0.5,1.309,1.134,0.499,4.213,7.55,1.154,0.949,-0.455
0.5,1.263,1.146,0.42,3.95,7.389,1.102,0.928,-0.304
0.5,1.304,1.147,0.476,4.19,7.523,1.137,0.956,-0.232
0.5,1.277,1.207,0.327,4.251,7.629,0.945,1.067,0.209
0.5,1.296,1.125,0.497,3.912,7.381,1.152,0.802,-0.44
0.5,1.351,1.108,0.572,3.923,7.387,1.219,0.862,0.446
0.5,1.364,1.052,0.636,3.979,7.428,0.772,1.012,3.848
0.5,1.33,1.171,0.474,4.357,7.704,1.136,0.853,-0.409
0.5,1.276,1.241,0.234,4.12,7.553,1.029,0.905,-0.338
0.5,1.308,1.011,0.634,3.739,7.181,0.773,1.105,0.57
0.5,1.263,1.259,0.082,4.242,7.638,1.003,1.06,0.49
0.5,1.301,1.179,0.422,4.364,7.635,0.906,1.014,7.039
