true_angle,mean_x,mean_y,std_x,std_y,skew_x,skew_y,kurt_x,kurt_y,mean_distance,max_distance,hull_area,hull_perimeter
1.1,3.376,-0.014,0.527,0.544,-0.267,0.123,-0.455,-0.374,0.94,2.624,4.252,7.064
1.1,3.467,-0.003,0.536,0.468,-0.209,-0.059,-0.192,0.103,0.882,2.608,3.89,6.531
1.2,3.391,0.068,0.581,0.565,-0.09,0.271,-0.351,-0.354,1.007,2.614,4.738,7.461
1.2,3.411,0.018,0.494,0.614,0.133,-0.299,0.121,-0.447,0.961,2.608,4.212,6.37
1.2,3.385,-0.081,0.54,0.567,-0.156,0.11,0.045,-0.583,0.975,2.563,4.375,6.903
1.2,3.402,0.088,0.558,0.506,-0.043,-0.205,-0.233,0.093,0.923,2.592,4.53,6.729
1.2,3.406,-0.002,0.574,0.601,0.127,-0.039,-0.43,-0.615,1.045,2.663,4.561,6.916
1.2,3.396,0.051,0.49,0.596,-0.022,0.023,0.026,-0.329,0.95,2.648,4.085,6.891
1.2,3.442,-0.012,0.451,0.63,-0.222,-0.1,0.663,-0.77,0.955,2.612,4.033,6.323
1.2,3.446,0.079,0.584,0.586,-0.094,-0.116,-0.546,-0.606,1.039,2.558,4.459,7.081
1.2,3.468,0.094,0.54,0.523,-0.212,0.101,-0.073,-0.112,0.922,2.596,4.329,6.816
1.2,3.364,-0.048,0.444,0.601,0.145,0.201,-0.149,-0.245,0.916,2.518,3.322,6.454
1.3,3.368,-0.001,0.579,0.543,0.149,0.007,-0.467,-0.536,0.99,2.655,4.273,6.564
1.3,3.363,-0.062,0.502,0.578,0.26,-0.128,-0.388,-0.298,0.947,2.499,3.74,5.755
1.3,3.516,0.013,0.577,0.582,0.308,-0.02,-0.531,-0.29,1.013,2.585,4.428,7.24
1.3,3.465,-0.085,0.592,0.606,-0.352,-0.064,-0.532,-0.65,1.056,2.647,4.855,7.332
1.3,3.464,0.073,0.554,0.557,-0.106,-0.021,-0.573,-0.392,0.979,2.61,4.241,6.289
1.3,3.468,-0.015,0.521,0.626,0.158,0.069,0.545,-0.416,1.005,2.668,4.808,7.246
1.3,3.483,0.035,0.502,0.618,0.116,0.005,-0.639,-0.652,0.992,2.628,4.309,7.155
1.3,3.403,-0.027,0.599,0.524,0.155,0.003,-0.845,-0.536,0.994,2.601,3.957,6.571
