true_angle,mean_x,mean_y,std_x,std_y,skew_x,skew_y,kurt_x,kurt_y,mean_distance,max_distance,hull_area,hull_perimeter
1.6,-3.448,-0.032,0.465,0.555,0.191,-0.273,0.716,0.011,0.887,2.582,4.144,6.432
1.6,-3.397,-0.022,0.521,0.585,0.054,-0.195,-0.364,-0.492,0.977,2.624,4.326,6.638
1.6,-3.33,-0.021,0.583,0.551,-0.324,0.352,-0.449,-0.507,0.999,2.629,4.329,7.352
1.6,-3.318,-0.06,0.557,0.56,0.056,-0.055,-0.533,-0.182,0.98,2.641,4.36,6.901
1.6,-3.385,-0.051,0.641,0.569,-0.175,0.271,-0.607,-0.496,1.065,2.675,4.786,7.568
1.7,-3.38,-0.103,0.501,0.556,-0.109,0.08,-0.19,-0.51,0.933,2.435,3.921,7.176
1.7,-3.516,-0.037,0.558,0.573,0.163,-0.007,-0.382,-0.311,0.996,2.644,4.567,7.12
1.7,-3.366,0.066,0.574,0.523,-0.206,0.026,-0.262,-0.594,0.956,2.664,4.134,6.327
1.7,-3.349,0.101,0.563,0.55,0.234,-0.157,-0.427,-0.449,0.981,2.464,4.193,6.927
1.7,-3.392,-0.097,0.568,0.514,-0.176,0.111,0.004,0.345,0.942,2.62,4.171,7.032
1.7,-3.357,0.03,0.604,0.538,-0.171,0.083,-0.58,-0.404,1.01,2.654,4.38,6.511
1.7,-3.369,0.09,0.623,0.483,-0.204,-0.164,-0.769,0.077,0.979,2.614,4.126,6.475
1.7,-3.387,0.091,0.578,0.534,0.001,0.001,-0.383,-0.047,0.982,2.503,4.349,6.464
1.7,-3.424,-0.103,0.568,0.56,0.173,-0.119,-0.27,-0.215,0.999,2.506,4.373,7.307
1.7,-3.488,0.011,0.498,0.596,-0.129,-0.191,0.03,-0.416,0.958,2.534,4.345,7.294
1.8,-3.38,-0.08,0.574,0.544,0.009,0.061,-0.208,0.13,0.967,2.653,5.021,7.703
1.8,-3.421,-0.019,0.581,0.549,0.197,0.005,-0.37,-1.014,0.997,2.675,3.93,6.419
1.8,-3.278,0.005,0.583,0.561,0.308,-0.159,-0.282,0.019,0.998,2.641,4.722,7.187
1.8,-3.328,0.027,0.496,0.63,-0.307,-0.208,-0.044,-0.47,0.989,2.657,4.154,6.997
1.8,-3.32,-0.121,0.64,0.557,0.157,0.082,-0.869,-0.311,1.056,2.636,4.546,6.93
1.8,-3.375,-0.055,0.512,0.519,0.253,0.158,0.134,0.045,0.899,2.6,4.328,6.63
1.8,-3.289,0.006,0.553,0.521,-0.043,0.281,-0.261,-0.078,0.944,2.64,4.235,6.697
1.8,-3.417,0.025,0.523,0.562,-0.071,0.069,-0.693,-0.746,0.956,2.458,4.012,6.503
1.8,-3.319,-0.016,0.625,0.593,0.074,0.198,-0.517,-0.573,1.079,2.64,4.455,6.97
1.8,-3.318,-0.019,0.585,0.572,0.188,0.415,-0.064,-0.381,1.007,2.662,4.635,6.881
1.9,-3.362,0.003,0.542,0.558,-0.038,0.182,0.01,-0.136,0.965,2.651,4.537,7.181
1.9,-3.458,0.087,0.481,0.561,-0.159,-0.284,-0.112,-0.351,0.918,2.484,3.792,6.862
1.9,-3.236,-0.059,0.637,0.487,0.161,0.052,-0.426,0.18,0.992,2.679,4.471,6.804
1.9,-3.326,0.064,0.553,0.495,0.063,-0.253,-0.467,-0.275,0.919,2.691,4.073,7.106
1.9,-3.403,0.068,0.468,0.513,0.031,-0.174,0.19,-0.28,0.859,2.505,3.846,6.53
1.9,-3.333,-0.095,0.553,0.622,-0.099,0.079,-0.22,-0.551,1.041,2.598,4.498,7.337
1.9,-3.355,-0.014,0.603,0.559,0.264,0.214,-0.547,-0.144,1.023,2.659,4.896,7.393
1.9,-3.31,-0.005,0.507,0.55,0.028,-0.383,-0.315,-0.433,0.928,2.497,3.846,6.839
1.9,-3.384,0.004,0.573,0.567,0.154,0.022,-0.801,-0.233,0.995,2.695,4.14,6.676
1.9,-3.297,-0.127,0.553,0.535,0.41,0.219,-0.579,-0.31,0.957,2.633,4.062,6.715
2.0,-3.252,0.141,0.558,0.564,-0.006,-0.062,-0.561,-0.325,0.991,2.589,4.281,7.072
2.0,-3.393,-0.038,0.53,0.531,-0.02,0.087,-0.376,0.299,0.926,2.631,4.438,6.791
2.0,-3.394,0.097,0.548,0.628,0.246,0.054,-0.448,-0.56,1.033,2.685,4.511,6.321
2.0,-3.302,0.073,0.58,0.547,0.033,-0.075,-0.351,-0.543,0.994,2.644,4.709,7.515
2.0,-3.393,-0.012,0.586,0.629,-0.525,0.146,-0.635,-0.653,1.068,2.597,4.355,6.56
2.0,-3.257,-0.053,0.518,0.553,0.093,-0.162,-0.21,-0.263,0.933,2.653,4.344,7.108
2.0,-3.342,0.047,0.551,0.587,0.037,-0.141,-0.343,-0.285,1.005,2.597,4.427,7.103
2.0,-3.375,-0.107,0.557,0.527,-0.131,-0.022,-0.128,-0.436,0.947,2.665,4.139,7.146
2.0,-3.296,-0.009,0.606,0.531,-0.111,-0.224,-0.467,-0.326,1.006,2.619,4.26,7.345
2.0,-3.244,-0.042,0.533,0.554,-0.121,-0.087,-0.166,-0.45,0.951,2.587,4.245,7.22
2.1,-3.358,0.008,0.559,0.526,-0.014,0.036,-0.396,-0.13,0.956,2.589,4.133,6.728
2.1,-3.355,-0.098,0.528,0.548,0.025,0.071,-0.464,-0.528,0.941,2.627,4.212,6.641
2.1,-3.331,0.021,0.605,0.568,0.173,0.034,-0.523,-0.654,1.037,2.624,4.373,7.341
2.1,-3.366,-0.004,0.537,0.535,0.384,-0.093,-0.147,-0.569,0.935,2.673,4.295,7.369
2.1,-3.478,-0.086,0.607,0.642,0.042,-0.013,-0.443,-0.656,1.114,2.657,4.873,7.364
2.1,-3.331,-0.087,0.533,0.592,-0.088,0.058,-0.576,-0.479,0.996,2.665,4.319,6.926
2.1,-3.419,0.04,0.55,0.552,-0.131,0.118,-0.504,-0.432,0.97,2.461,3.861,6.728
2.1,-3.358,-0.052,0.555,0.506,0.005,0.079,-0.03,0.138,0.925,2.566,4.429,6.645
2.1,-3.283,-0.021,0.541,0.649,-0.237,0.21,-0.519,-0.655,1.056,2.642,4.428,7.059
2.1,-3.5,0.012,0.504,0.6,-0.185,-0.133,-0.359,-0.216,0.972,2.618,4.118,6.671
2.2,-3.332,0.107,0.626,0.586,-0.009,-0.315,-0.822,-0.248,1.072,2.617,4.744,7.068
2.2,-3.382,0.047,0.527,0.633,-0.17,0.152,-0.47,-0.733,1.025,2.632,4.611,7.218
2.2,-3.294,0.034,0.562,0.509,-0.187,-0.327,-0.379,0.113,0.94,2.615,4.293,6.911
2.2,-3.346,-0.066,0.556,0.556,-0.11,0.265,-0.625,-0.498,0.986,2.62,4.368,6.791
2.2,-3.344,-0.047,0.565,0.489,-0.097,0.343,0.218,0.116,0.907,2.613,4.22,7.048
2.2,-3.331,-0.066,0.522,0.546,0.194,-0.087,-0.592,-0.206,0.935,2.609,3.74,6.959
2.2,-3.304,0.047,0.481,0.553,0.406,-0.242,0.223,-0.295,0.898,2.634,4.202,6.953
2.2,-3.342,-0.024,0.658,0.519,-0.054,-0.206,-0.825,-0.298,1.05,2.617,4.288,7.355
2.2,-3.381,-0.062,0.607,0.552,0.171,-0.528,-0.885,-0.558,1.026,2.419,3.969,6.516
2.2,-3.368,-0.021,0.584,0.596,0.221,-0.006,-0.534,-0.513,1.044,2.632,4.524,6.917
2.3,-3.365,0.037,0.535,0.572,0.021,0.11,-0.193,-0.341,0.975,2.563,4.379,6.51
2.3,-3.4,0.06,0.532,0.594,0.027,-0.232,-0.196,-0.401,0.988,2.624,4.124,7.437
2.3,-3.324,-0.044,0.606,0.511,-0.01,-0.035,-0.714,-0.356,0.989,2.466,4.011,7.068
2.3,-3.327,0.053,0.54,0.547,0.095,0.047,-0.395,-0.027,0.954,2.615,4.422,6.577
2.3,-3.449,-0.104,0.537,0.557,0.079,-0.146,-0.356,-0.307,0.963,2.476,4.297,6.283
2.3,-3.468,0.015,0.543,0.597,0.361,0.165,-0.198,-0.253,0.997,2.683,4.906,7.855
2.3,-3.325,0.056,0.464,0.6,-0.468,-0.108,0.929,-0.231,0.93,2.558,4.378,6.258
2.3,-3.364,-0.073,0.58,0.476,0.04,-0.348,0.143,-0.316,0.92,2.651,3.932,5.997
2.3,-3.455,-0.113,0.501,0.539,-0.396,-0.097,-0.313,0.067,0.903,2.621,3.969,6.454
2.3,-3.35,-0.006,0.561,0.554,0.187,0.235,-0.366,-0.182,0.977,2.614,4.267,6.314
2.4,-3.4,-0.04,0.575,0.559,-0.048,-0.15,-0.457,-0.394,1.0,2.646,4.689,7.118
2.4,-3.319,0.062,0.58,0.545,-0.04,0.152,-0.476,-0.108,0.986,2.61,4.614,7.399
2.4,-3.273,0.045,0.541,0.561,-0.166,-0.01,-0.58,-0.243,0.971,2.61,4.565,6.85
2.4,-3.242,0.074,0.583,0.542,0.151,0.302,-0.608,-0.572,0.995,2.571,4.262,6.867
